Position,Relative_position,Mag_Sus,MSE,Incoherence,Coherence,Inc/Coh,Al,Si,Si/TI,P,S,Cl,Ar,K,Ca,Ti,Mn,Mn/Ti,Fe,Fe/Ti,Fe/S,Co,Ni,Cu,Zn,Ga,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Pd,Cd,In,Sn,Sb,Cs,Ba,La,Pr,Nd,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Hf,W,Re,Os,Au,Hg,Pb,Bi,Po,At,Ra,Ac,Th,U
0,51.41,26.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.5,51.91,NaN,1.99,26157,63879,0.409477293,270,2670,0.102436217,0,1131,18,3624,23180,31120,26065,883,0.033876846,190220,7.297909073,168.1874447,1237,97,0,304,56,491,167,355,631,9,254,0,97,0,0,0,279,301,37,924,577,664,347,1259,531,403,543,216,104,505,136,74,0,0,17,142,126,0,0,0,0,0,289,176,206
1,52.41,NaN,1.83,24646,61701,0.399442473,249,2130,0.091853896,55,1005,9,3836,20371,27376,23189,1078,0.046487559,172024,7.418344905,171.1681592,1271,129,0,209,0,597,0,263,575,56,251,14,0,0,5,23,405,255,80,904,483,689,767,860,437,339,567,261,309,360,161,46,0,0,32,124,99,0,48,104,44,24,275,163,42
1.5,52.91,NaN,1.84,24240,58306,0.41573766,216,2024,0.089624939,0,964,8,3988,19370,26172,22583,801,0.035469158,166084,7.354381614,172.2863071,1262,123,0,295,27,473,0,311,530,0,289,0,0,0,0,0,229,199,56,755,454,612,630,829,375,498,485,312,201,420,205,91,0,0,0,110,153,86,78,0,0,0,117,78,137
2,53.41,32.58,1.76,26212,63199,0.414753398,253,2638,0.105693337,0,1037,20,3740,22061,31135,24959,981,0.039304459,184167,7.378781201,177.5959499,1249,119,0,301,59,564,76,549,654,0,300,57,96,0,26,13,268,262,94,957,607,534,686,1337,492,614,556,237,151,480,207,106,0,0,0,129,213,0,74,0,0,38,347,176,125
2.5,53.91,NaN,1.56,27281,65522,0.416363969,277,2421,0.092422218,48,1133,13,3503,22642,33637,26195,1202,0.04588662,178671,6.820805497,157.6972639,1556,139,0,304,67,416,0,414,625,46,362,0,68,54,18,229,133,252,106,1044,420,641,823,610,584,402,529,207,118,477,224,208,0,0,6,77,209,109,86,66,0,21,184,78,103
3,54.41,NaN,1.61,26364,66687,0.395339421,309,3294,0.114981849,26,1217,25,3605,26196,37920,28648,785,0.027401564,183226,6.395769338,150.5554643,1181,87,0,233,40,573,17,460,585,90,348,100,84,0,31,228,162,375,125,1174,519,703,576,1534,385,746,464,355,163,495,62,84,0,7,0,77,124,43,26,0,81,0,301,93,175
3.5,54.91,NaN,1.72,26006,65830,0.395047851,279,3471,0.121546381,27,1239,21,3729,27981,37748,28557,759,0.026578422,187094,6.551598557,151.0040355,1145,138,0,367,67,498,0,293,647,16,278,5,135,0,27,0,427,416,53,1030,496,586,391,1238,441,734,520,313,228,476,112,59,0,0,36,55,209,102,74,139,58,0,345,93,45
4,55.41,35.86,1.74,23616,64268,0.367461256,355,3544,0.119334635,63,1262,60,3704,27969,38779,29698,847,0.028520439,185361,6.241531416,146.8787639,1362,134,0,316,0,539,0,402,615,67,347,78,64,0,60,14,332,436,66,1047,435,829,691,960,448,346,600,301,184,471,31,95,0,0,0,59,152,31,91,56,65,96,262,106,77
4.5,55.91,NaN,1.93,23332,65650,0.355399848,287,3722,0.126460995,30,1258,0,3639,28277,39159,29432,1116,0.037917912,189781,6.448117695,150.8593005,1334,115,0,310,44,625,0,242,529,81,267,77,108,0,110,0,344,188,49,864,575,574,638,1148,402,724,490,355,101,532,170,202,0,0,0,152,154,0,44,50,0,18,212,58,22
