Position,Relative_Position,Position,Mag_Sus,MSE,Incoherence,Coherence,Inc/Coh,Al,Si,Si/Ti,P,S,Cl,Ar,K,Ca,Ti,Mn,Mn/Ti,Fe,Fe/Ti,Fe/S,Co,Ni,Cu,Zn,Ga,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Pd,Cd,In,Sn,Sb,Cs,Ba,La,Pr,Nd,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Hf,W,Re,Os,Au,Hg,Pb,Bi,Po,At,Ra,Ac,Th,U
0,506.91,,,1.58,19875,57158,0.347720354,348,3974,7.606693508,39,1402,41,3495,28598,31963,30229,1227,0.040590162,204803,6.775050448,146.0791726,1240,47,0,233,34,622,0,434,462,50,137,49,22,0,67,252,299,216,49,1096,383,695,967,996,342,1277,422,400,339,262,12,0,0,0,0,83,142,0,10,16,0,0,468,101,0
0.5,507.41,,,1.68,21944,57951,0.378664734,320,3940,7.57893401,60,1414,80,3478,28431,31414,29861,1126,0.037708047,210022,7.033321054,148.5304102,1345,0,0,375,49,761,0,464,480,119,215,7,52,0,58,384,61,298,86,1163,263,735,694,1868,365,1985,313,454,116,178,0,0,0,0,0,71,151,0,0,34,0,0,330,224,104
1,507.91,,,1.65,22428,59013,0.380051853,310,3652,8.140197152,61,1345,84,3554,28169,30098,29728,1649,0.055469591,213904,7.195371367,159.0364312,1357,110,0,231,0,824,49,424,395,69,162,44,105,0,0,208,168,471,91,1242,349,639,635,1549,510,2054,485,426,279,295,0,0,0,0,86,105,62,0,64,76,0,0,537,154,84
1.5,508.41,,,1.75,22541,60016,0.375583178,303,2958,10.06051386,32,1295,19,3555,26788,29910,29759,1603,0.053866057,211722,7.11455358,163.4918919,1304,71,0,156,0,871,13,336,519,128,46,0,105,10,21,248,132,304,128,1246,373,690,593,1883,380,1817,409,469,124,311,0,81,0,79,0,104,123,0,0,29,0,0,710,210,94
2,508.91,,,1.74,23156,59538,0.38892808,278,3087,9.43537415,47,1277,28,3531,26973,29531,29127,325,0.011158032,214956,7.379956741,168.3288958,1268,32,0,280,73,906,0,349,455,6,57,39,137,0,93,358,37,366,109,1216,347,745,468,1961,224,2251,452,504,167,355,0,0,0,0,17,119,116,0,0,118,7,0,614,145,44
2.5,509.41,509.43,17.13,1.97,22354,58793,0.380215332,362,3512,8.358485194,12,1288,43,3576,28215,29142,29355,791,0.026946006,217107,7.39591211,168.5613354,1286,0,0,215,21,584,74,406,457,43,111,0,6,0,47,77,332,254,25,1119,511,549,548,1871,339,1823,268,500,121,391,206,35,0,0,24,188,180,0,71,0,0,0,444,139,0
3,509.91,,,1.9,21133,60509,0.34925383,350,3361,8.999107409,47,1252,63,3338,28449,29006,30246,1869,0.061793295,221470,7.322290551,176.8929712,1376,115,0,261,6,915,67,508,493,104,63,0,57,0,103,189,173,417,132,1155,392,579,928,1845,437,1844,535,352,144,341,0,50,0,0,0,52,103,0,81,0,34,11,611,84,7
3.5,510.41,,,1.77,21477,58823,0.365112286,303,3285,8.9543379,74,1264,42,3398,27829,28751,29415,1346,0.045758967,221185,7.519462859,174.9881329,1332,26,0,315,41,531,17,407,495,46,244,0,0,0,33,227,159,319,45,1085,449,501,691,1758,347,1449,425,407,166,336,37,52,0,0,0,103,156,43,74,50,0,0,284,88,94
4,510.91,,,1.83,21847,58296,0.374759846,360,3369,8.819531018,33,1359,26,3493,28233,29904,29713,1208,0.040655605,219506,7.387540807,161.5202355,1482,107,21,331,41,707,0,379,528,128,113,95,103,0,4,367,93,235,72,1092,315,745,699,1628,453,1211,568,306,271,182,93,16,0,0,26,115,193,0,0,67,0,23,436,247,65
4.5,511.41,511.43,18,1.9,21076,58175,0.362286205,324,3514,8.486340353,45,1326,34,3587,28668,30884,29821,1418,0.047550384,215008,7.209952718,162.147813,1495,118,39,297,65,747,0,313,493,114,83,32,0,6,25,150,244,370,89,1109,385,672,866,1193,461,1582,600,365,297,217,0,0,0,0,11,251,236,0,66,240,0,23,559,207,7
